Hour,Count
,963
0.0,70593
1.0,73789
2.0,87875
3.0,91032
4.0,67403
5.0,10318
6.0,29650
7.0,57022
8.0,87435
9.0,113901
10.0,112872
11.0,138908
12.0,127654
13.0,114917
14.0,84210
15.0,82244
16.0,90498
17.0,78070
18.0,70789
19.0,72069
20.0,66887
21.0,47001
22.0,27862
23.0,17925
