Address,Count
80 LYNN WILLIAMS ST,683
42 CHARLES ST E,683
CAVEN ST,681
231 FORT YORK BLVD,680
150 EAST LIBERTY ST,678
16 JOHN STREET,677
MORTIMER AVE,676
24 BELLAIR ST,676
QUEEN ST W,676
118 MERCHANTS' WHARF,674
106 YORKVILLE AVE,671
41 HAZELTON AVE,670
88 ERSKINE AVE,669
70 TEMPERANCE ST,667
80 ESTHER LORRIE DR,661
151 DAN LECKIE WAY,660
450 ADELAIDE ST W,658
15 PRICE ST,654
100 MC CAUL ST,650
125 BLUE JAYS WAY,650
1675 LAKE SHORE BLVD. EAST,649
15 TOBERMORY DR,648
ST CLAIR AVE W,646
130 ELIZABETH STREET,646
30 GIBBS RD,645
25 PARKWAY FOREST DR,645
20 GRAYDON HALL DR,641
40 ASQUITH AVE,640
DALHOUSIE ST,637
361 UNIVERSITY AVE,631
215 SHERWAY GARDENS RD,631
120 HOMEWOOD AVE,631
453 SPADINA ROAD,630
55 TOWN CENTRE CRT,629
26 LOMBARD ST,628
23 SULTAN ST,628
250 YONGE ST,627
39 SUNNYSIDE AVE,625
110 ELM ST,624
2 FORTY SECOND ST,622
209 FORT YORK BLVD,622
HURON ST,622
26 DUNCAN ST,622
110 MARINE PARADE DR,621
405 SHERBOURNE STREET,619
33 CHARLES ST E,619
2 COLBORNE ST,618
190 CHALKFARM DR,617
438 UNIVERSITY AVE,616
SIMCOE ST,616
77 KING ST W,613
205 HUMBER COLLEGE BLVD,612
270 THE KINGSWAY,609
8 MERCER ST,607
CUMBERLAND ST,606
104 YORKVILLE AVE,605
2 JAMES ST,604
35 ERINDALE AVENUE,603
111 QUEEN ST E,602
100 WESTERN BATTERY RD,600
56 THE ESPLANADE,599
SHEPPARD ST,598
90 STADIUM RD,597
265 ARMADALE AVENUE,597
15 ROEHAMPTON AVE,597
ST CLARENS AVE,596
121 MCMAHON DR,595
375 UNIVERSITY AVE,593
PALACE ST,593
20 BRUYERES MEWS,592
125 WESTERN BATTERY RD,592
600 FLEET ST,590
GEORGE ST,586
10 CAPREOL CRT,586
350 QUEENS QUAY W,579
33 ORCHARD VIEW BLVD,579
LOURDES LANE,578
18 MAITLAND TER,577
85 GLENDALE AVE,577
5 PARK HOME AVE,577
20 JAMES ST,576
55 MAITLAND ST,576
35 ERINDALE AVE,575
255 VILLAGE GREEN SQ,572
99 ATLANTIC AVE,571
10 YORK ST,571
1138 BATHURST ST,570
120 SUBWAY CRESCENT,570
400 ADELAIDE ST E,570
45 OVERLEA BLVD,567
9 TEMPERANCE ST,567
138 PRINCESS ST,566
10 PARKDALE RD,563
101 ERSKINE AVE,563
370 KING ST W,561
125 PARKWAY FOREST DR,561
25 SELBY ST,560
170 BAYVIEW AVE,558
155 LEGION RD N,558
HOUSEY ST,557
150 YORK ST,557
65 EAST LIBERTY ST,556
5 ST JOSEPH ST,555
43 THORNCLIFFE PARK DR,555
35 GREENFIELD AVE,553
160 MUTUAL ST,553
5 BRAHMS AVE,553
60 COLBORNE ST,552
ADELAIDE ST W,552
155 TRANSWAY CRESCENT,550
MARGUERETTA ST,550
265 DURIE ST,550
BATHURST ST,546
10 HARLANDALE AVE,544
10 LOWER JARVIS ST,544
72 ESTHER SHINER BLVD,543
24 MABELLE AVE,543
ELIZABETH ST,543
52 MABELLE AVE,543
50 LOMBARD ST,541
65 EMMETT AVE,540
21 MELINDA ST,539
77 SHUTER ST,539
54 DALHOUSIE ST,537
74 FRASER AVE,536
110 CHARLES ST E,534
1090 THE QUEENSWAY,533
101 EGLINTON AVE E,533
522 UNIVERSITY AVE,532
1001 SANDHURST CIR,531
35 BRIDGMAN AVE,529
2737 KIPLING AVE,529
CHURCH ST,527
106 DOVERCOURT RD,526
100 SIMCOE ST,526
955 BAY ST,525
33 COLLEGE ST,523
103 WEST LODGE AVE,523
1200 YORK MILLS RD,523
3555 DON MILLS RD,522
710 HUMBERWOOD BLVD,521
15 ICEBOAT TER,517
20 PALACE ST,517
112 ELIZABETH ST,516
405 SHERBOURNE ST,515
ONTARIO ST,515
1410 DUPONT ST,515
111 ELIZABETH ST,515
365 LIPPINCOTT ST,513
28 STADIUM RD,512
19 BATHURST ST,510
415 YONGE ST,509
THE ESPLANADE,508
99 BROADWAY AVE,508
720 QUEEN ST W,507
JORDAN ST,507
716 PAPE AVE,506
1 ROXBOROUGH ST E,506
COLBORNE ST,506
238 WELLESLEY ST E,506
35 HAYDEN ST,504
111 BROADVIEW AVE,503
63 OSSINGTON AVE,503
REGENT PARK BLVD,502
5 MASSEY SQ,502
130 ELIZABETH ST,499
100 KING ST W,499
99 THE DONWAY W,498
150 SUDBURY ST,498
PRICE ST,496
5 ELM ST,495
25 GRENVILLE ST,494
3330 BLOOR ST W,492
145 MUTUAL ST,491
1105 WILSON AVE,489
201 CLAREMONT ST,489
213 HURON ST,488
109 OSSINGTON AVE,487
535 WELLINGTON ST W,486
100 HARRISON GARDEN BLVD,486
43 GOLDWIN AVE,485
CHESTNUT ST,485
HAYTER ST,484
10 EMPRESS AVE.,483
58 MARINE PARADE DR,483
209 VICTORIA ST,482
200 DORA SPENCER RD,482
5 BRIDGMAN AVE,481
292 ADELAIDE ST W,481
GROSVENOR ST,479
255 KENNEDY AVENUE,479
BERKELEY ST,478
MAVETY ST,478
55 MERCHANTS' WHARF,477
21 SCOLLARD ST,476
151 ROEHAMPTON AVE,476
371 FRONT ST W,476
500 WELLINGTON ST W,475
66 WELLINGTON ST W,475
1507 LAWRENCE AVE W,475
700 HUMBERWOOD BLVD,473
167 CHURCH ST,473
411 QUEEN ST W,473
108 MUTUAL ST,472
83 TANNERY RD.,470
30 ADELAIDE ST E,470
33 MILL ST,470
70 QUEENS WHARF RD,470
